vendor_id,vendor_name,category,contract_value,contract_start,contract_end,sla_breaches_90d,incidents_90d,compliance_flag,uptime_pct,financial_risk_score,risk_probability,risk_tier,vendor_exit_risk
V_1000,Vendor_1,IT Services,1742743,2024-02-18,2024-09-05,0,0,0,99.42,0.47,0.13,Low,0
V_1001,Vendor_2,Security,1312752,2024-10-16,2026-02-21,2,1,0,99.81,0.39,0.77,Low,0
V_1002,Vendor_3,IT Services,2702991,2024-09-01,2025-07-08,3,2,0,97.88,0.1,1.48,Medium,0
V_1003,Vendor_4,Cloud,4205299,2024-07-06,2027-05-23,2,1,1,99.56,0.09,1.07,Medium,0
V_1004,Vendor_5,Finance,4824183,2024-01-25,2026-07-12,4,0,0,96.25,0.09,1.57,Medium,0
V_1005,Vendor_6,Logistics,1787095,2024-03-15,2025-11-03,1,0,0,99.5,0.43,0.37,Low,0
V_1006,Vendor_7,Logistics,3652279,2024-01-24,2026-01-19,1,2,0,98.38,0.79,0.97,Medium,0
V_1007,Vendor_8,Security,2400770,2024-06-23,2027-05-02,1,2,0,97.82,0.47,1.02,Medium,0
V_1008,Vendor_9,Security,3107213,2024-04-13,2026-12-14,1,3,0,98.25,0.26,1.14,Medium,0
V_1009,Vendor_10,Cloud,452690,2025-01-25,2027-07-03,1,0,0,99.68,0.13,0.31,Low,0
V_1010,Vendor_11,Cloud,89353,2024-07-04,2025-09-24,1,0,0,99.26,0.32,0.39,Low,0
V_1011,Vendor_12,Security,319536,2024-12-30,2026-08-04,2,1,0,97.02,0.15,1.16,Medium,0
V_1012,Vendor_13,Cloud,1454104,2025-09-17,2026-09-18,0,0,0,98.97,0.07,0.16,Low,0
V_1013,Vendor_14,Cloud,4721399,2024-04-19,2026-04-19,1,0,0,100.0,0.06,0.26,Low,0
V_1014,Vendor_15,Finance,3191259,2024-10-23,2025-05-27,1,0,0,100.0,0.27,0.28,Low,0
V_1015,Vendor_16,IT Services,718234,2024-05-04,2025-12-24,2,0,0,100.0,0.27,0.53,Low,0
V_1016,Vendor_17,Security,4724351,2024-09-02,2027-08-13,2,1,0,97.57,0.54,1.12,Medium,0
V_1017,Vendor_18,Logistics,3488618,2025-06-07,2026-09-06,2,0,0,97.39,0.35,0.93,Medium,0
V_1018,Vendor_19,Logistics,4892611,2025-07-12,2026-09-17,2,0,0,100.0,0.26,0.53,Low,0
V_1019,Vendor_20,Finance,1155534,2025-08-17,2027-06-17,4,0,1,99.46,0.26,1.41,Medium,0
V_1020,Vendor_21,Cloud,2749015,2024-08-25,2026-03-27,0,1,0,100.0,0.62,0.26,Low,0
V_1021,Vendor_22,Finance,4529125,2025-03-11,2027-03-30,0,0,1,97.66,0.28,0.68,Low,0
V_1022,Vendor_23,IT Services,1021525,2025-02-03,2025-09-17,1,0,1,100.0,0.24,0.57,Low,0
V_1023,Vendor_24,SaaS,3463821,2023-11-20,2024-09-21,2,0,0,100.0,0.29,0.53,Low,0
V_1024,Vendor_25,Logistics,2214367,2024-11-10,2025-08-02,0,0,0,100.0,0.12,0.01,Low,0
V_1025,Vendor_26,IT Services,1157677,2025-01-27,2025-08-17,0,2,0,99.0,0.29,0.58,Low,0
V_1026,Vendor_27,SaaS,4863296,2025-08-12,2027-05-28,3,3,0,100.0,0.24,1.37,Medium,0
V_1027,Vendor_28,Security,3026242,2023-12-27,2024-07-28,1,1,0,98.96,0.05,0.61,Low,0
